,Rank,Name,Age,Exp,G,Cmp,Att,Cm%,PYd,Y/Att,PTD,Int,Rsh,RshYd,RshTD,FP/G,FantPt,week,year,position
0,1,Daniel Jones NYG,26.0,5.0,1,26,37,70.3,321,8.68,2,1,9,59,1,30.7,30.7,2,2023,qb
1,2,Kirk Cousins MIN,35.0,12.0,1,31,44,70.5,364,8.27,4,0,0,0,0,30.6,30.6,2,2023,qb
2,3,Russell Wilson DEN,35.0,12.0,1,18,32,56.3,308,9.63,3,1,6,56,0,27.9,27.9,2,2023,qb
3,4,Jalen Hurts PHI,25.0,4.0,1,18,23,78.3,193,8.39,1,1,12,35,2,25.2,25.2,2,2023,qb
4,5,Josh Allen BUF,27.0,6.0,1,31,37,83.8,274,7.41,3,0,3,7,0,23.7,23.7,2,2023,qb
5,6,C.J. Stroud HOU,22.0,1.0,1,30,47,63.8,384,8.17,2,0,3,1,0,23.5,23.5,2,2023,qb
6,7,Joshua Dobbs ARI,28.0,7.0,1,21,31,67.7,228,7.35,1,0,3,41,1,23.2,23.2,2,2023,qb
7,8,Geno Smith SEA,33.0,11.0,1,32,41,78.0,328,8.0,2,0,3,20,0,23.1,23.1,2,2023,qb
8,9,Jared Goff DET,29.0,8.0,1,28,35,80.0,323,9.23,3,1,0,0,0,22.9,22.9,2,2023,qb
9,10,Lamar Jackson BAL,26.0,6.0,1,24,33,72.7,237,7.18,2,0,12,54,0,22.9,22.9,2,2023,qb
10,11,Desmond Ridder ATL,24.0,2.0,1,19,32,59.4,237,7.41,1,1,10,39,1,21.4,21.4,2,2023,qb
11,12,Sam Howell WAS,23.0,2.0,1,27,39,69.2,299,7.67,2,0,2,13,0,21.3,21.3,2,2023,qb
12,13,Patrick Mahomes II KC,28.0,7.0,1,29,41,70.7,305,7.44,2,1,7,30,0,21.2,21.2,2,2023,qb
13,14,Ryan Tannehill TEN,35.0,12.0,1,20,24,83.3,246,10.25,1,0,1,12,1,21.0,21.0,2,2023,qb
14,15,Jordan Love GB,25.0,4.0,1,14,25,56.0,151,6.04,3,0,2,23,0,20.3,20.3,2,2023,qb
15,16,Justin Herbert LAC,25.0,4.0,1,27,41,65.9,305,7.44,2,0,1,0,0,20.2,20.2,2,2023,qb
16,17,Dak Prescott DAL,30.0,8.0,1,31,38,81.6,255,6.71,2,0,6,14,0,19.6,19.6,2,2023,qb
17,18,Baker Mayfield TB,28.0,6.0,1,26,34,76.5,317,9.32,1,0,6,17,0,18.4,18.4,2,2023,qb
18,19,Anthony Richardson IND,22.0,1.0,1,6,10,60.0,56,5.6,0,0,3,35,2,17.7,17.7,2,2023,qb
19,20,Joe Burrow CIN,27.0,4.0,1,27,41,65.9,222,5.41,2,1,1,5,0,15.4,15.4,2,2023,qb
20,21,Justin Fields CHI,24.0,3.0,1,16,29,55.2,211,7.28,1,2,4,3,1,14.7,14.7,2,2023,qb
21,22,Brock Purdy SF,24.0,2.0,1,17,25,68.0,206,8.24,0,0,3,5,1,14.7,14.7,2,2023,qb
22,23,Matthew Stafford LAR,35.0,15.0,1,34,55,61.8,307,5.58,1,2,4,17,0,14.0,14.0,2,2023,qb
23,24,Mac Jones NE,25.0,3.0,1,31,42,73.8,231,5.5,1,1,5,25,0,13.7,13.7,2,2023,qb
24,25,Deshaun Watson CLE,28.0,7.0,1,22,40,55.0,235,5.88,1,1,6,22,0,13.6,13.6,2,2023,qb
25,26,Bryce Young CAR,22.0,1.0,1,22,33,66.7,153,4.64,1,0,2,34,0,13.5,13.5,2,2023,qb
26,27,Tua Tagovailoa MIA,25.0,4.0,1,21,30,70.0,249,8.3,1,1,4,3,0,12.3,12.3,2,2023,qb
27,28,Trevor Lawrence JAX,24.0,3.0,1,22,41,53.7,216,5.27,0,0,5,26,0,11.2,11.2,2,2023,qb
28,29,Gardner Minshew IND,27.0,5.0,1,19,23,82.6,171,7.43,1,0,2,3,0,11.1,11.1,2,2023,qb
29,30,Kenny Pickett PIT,25.0,2.0,1,15,30,50.0,222,7.4,1,1,4,-6,0,10.3,10.3,2,2023,qb
30,31,Zach Wilson NYJ,24.0,3.0,1,12,27,44.4,170,6.3,1,3,5,36,0,8.4,8.4,2,2023,qb
31,32,Jimmy Garoppolo LV,32.0,10.0,1,16,24,66.7,185,7.71,1,2,1,1,0,7.5,7.5,2,2023,qb
32,33,Derek Carr NO,32.0,10.0,1,21,36,58.3,228,6.33,0,1,3,-4,0,6.7,6.7,2,2023,qb
33,34,Andy Dalton CAR,36.0,13.0,1,0,0,,0,,0,0,0,0,0,0.0,0.0,2,2023,qb
34,35,Kyle Allen BUF,27.0,6.0,1,0,0,,0,,0,0,2,-2,0,-0.2,-0.2,2,2023,qb
