,Rank,Name,Age,Exp,G,Rsh,RshYd,Y/Rsh,RshTD,Rec,RecYd,RecTD,FP/G,FantPt,week,year,position
0,1,Kyren Williams LAR,23.0,2.0,1,14,52,3.7,1,6,48,1,28.0,28.0,2,2023,rb
1,2,Saquon Barkley NYG,26.0,6.0,1,17,63,3.7,1,6,29,1,27.2,27.2,2,2023,rb
2,3,D'Andre Swift PHI,24.0,4.0,1,28,175,6.3,1,3,6,0,27.1,27.1,2,2023,rb
3,4,Brian Robinson Jr WAS,24.0,2.0,1,18,87,4.8,2,2,42,0,26.9,26.9,2,2023,rb
4,5,Raheem Mostert MIA,31.0,9.0,1,18,121,6.7,2,1,6,0,25.7,25.7,2,2023,rb
5,6,Christian McCaffrey SF,27.0,7.0,1,20,116,5.8,1,3,19,0,22.5,22.5,2,2023,rb
6,7,Jerome Ford CLE,24.0,2.0,1,16,106,6.6,0,3,25,1,22.1,22.1,2,2023,rb
7,8,Rachaad White TB,24.0,2.0,1,17,73,4.3,1,5,30,0,21.3,21.3,2,2023,rb
8,9,Bijan Robinson ATL,21.0,1.0,1,19,124,6.5,0,4,48,0,21.2,21.2,2,2023,rb
9,10,Zack Moss IND,26.0,4.0,1,18,88,4.9,1,4,19,0,20.7,20.7,2,2023,rb
10,11,James Cook BUF,24.0,2.0,1,17,123,7.2,0,4,36,0,19.9,19.9,2,2023,rb
11,12,Derrick Henry TEN,29.0,8.0,1,25,80,3.2,1,3,15,0,18.5,18.5,2,2023,rb
12,13,Ken Walker III SEA,23.0,2.0,1,17,43,2.5,2,1,11,0,18.4,18.4,2,2023,rb
13,14,Tony Pollard DAL,26.0,5.0,1,25,72,2.9,0,7,37,0,17.9,17.9,2,2023,rb
14,15,James Conner ARI,28.0,7.0,1,23,106,4.6,1,0,0,0,16.6,16.6,2,2023,rb
15,16,Tony Jones Jr. NO,26.0,4.0,1,12,34,2.8,2,0,0,0,15.4,15.4,2,2023,rb
16,17,Rhamondre Stevenson NE,25.0,3.0,1,15,50,3.3,1,3,10,0,15.0,15.0,2,2023,rb
17,18,David Montgomery DET,26.0,5.0,1,16,67,4.2,1,1,7,0,14.4,14.4,2,2023,rb
18,19,Joe Mixon CIN,27.0,7.0,1,13,59,4.5,0,4,36,0,13.5,13.5,2,2023,rb
19,20,Jahmyr Gibbs DET,21.0,1.0,1,7,17,2.4,0,7,39,0,12.6,12.6,2,2023,rb
20,21,Jaylen Warren PIT,25.0,2.0,1,6,20,3.3,0,4,66,0,12.6,12.6,2,2023,rb
21,22,Gus Edwards BAL,28.0,6.0,1,10,62,6.2,1,0,0,0,12.2,12.2,2,2023,rb
22,23,Latavius Murray BUF,33.0,11.0,1,6,22,3.7,1,2,9,0,11.1,11.1,2,2023,rb
23,24,Chuba Hubbard CAR,24.0,3.0,1,2,16,8.0,0,5,34,0,10.0,10.0,2,2023,rb
24,25,Josh Jacobs LV,25.0,5.0,1,9,-2,-0.2,0,5,51,0,9.9,9.9,2,2023,rb
25,26,Damien Harris BUF,26.0,5.0,1,7,33,4.7,1,0,0,0,9.3,9.3,2,2023,rb
26,27,Antonio Gibson WAS,25.0,4.0,1,2,9,4.5,0,3,44,0,8.3,8.3,2,2023,rb
27,28,Justice Hill BAL,26.0,5.0,1,11,41,3.7,0,3,12,0,8.3,8.3,2,2023,rb
28,29,Isiah Pacheco KC,24.0,2.0,1,12,70,5.8,0,1,0,0,8.0,8.0,2,2023,rb
29,30,Javonte Williams DEN,23.0,3.0,1,12,44,3.7,0,2,14,0,7.8,7.8,2,2023,rb
30,31,Miles Sanders CAR,26.0,5.0,1,14,43,3.1,0,3,4,0,7.7,7.7,2,2023,rb
31,32,Tyjae Spears TEN,23.0,1.0,1,8,49,6.1,0,2,6,0,7.5,7.5,2,2023,rb
32,33,AJ Dillon GB,25.0,4.0,1,15,55,3.7,0,1,8,0,7.3,7.3,2,2023,rb
33,34,Salvon Ahmed MIA,25.0,4.0,1,3,13,4.3,0,3,28,0,7.1,7.1,2,2023,rb
34,35,Alexander Mattison MIN,25.0,5.0,1,8,28,3.5,0,3,11,0,6.9,6.9,2,2023,rb
35,36,Khalil Herbert CHI,25.0,3.0,1,7,35,5.0,0,1,23,0,6.8,6.8,2,2023,rb
