,Rank,Name,G,SCK,FR,INT,DefTD,SpTmTD,PtAllw,YdAllw,FP/G,FantPt,week,year,position
0,1,Pittsburgh Steelers PIT,1,6,3,1,2,0,22.0,408,26.0,26.0,2,2023,td
1,2,Tampa Bay Buccaneers TB,1,6,0,2,1,0,17.0,236,16.0,16.0,2,2023,td
2,3,Seattle Seahawks SEA,1,2,2,1,1,0,31.0,418,14.0,14.0,2,2023,td
3,4,Dallas Cowboys DAL,1,3,1,3,0,0,10.0,215,11.0,11.0,2,2023,td
4,5,Washington Commanders WAS,1,7,1,1,0,0,33.0,399,11.0,11.0,2,2023,td
5,6,Philadelphia Eagles PHI,1,2,4,0,0,0,28.0,374,10.0,10.0,2,2023,td
6,7,Indianapolis Colts IND,1,6,1,0,0,0,20.0,389,8.0,8.0,2,2023,td
7,8,Miami Dolphins MIA,1,4,1,1,0,0,17.0,288,8.0,8.0,2,2023,td
8,9,Jacksonville Jaguars JAX,1,1,2,1,0,0,17.0,399,7.0,7.0,2,2023,td
9,10,Buffalo Bills BUF,1,0,1,2,0,0,10.0,240,6.0,6.0,2,2023,td
10,11,Carolina Panthers CAR,1,4,0,1,0,0,20.0,341,6.0,6.0,2,2023,td
11,12,Cincinnati Bengals CIN,1,0,0,0,0,1,27.0,415,6.0,6.0,2,2023,td
12,13,Cleveland Browns CLE,1,2,1,1,0,0,26.0,255,6.0,6.0,2,2023,td
13,14,Kansas City Chiefs KC,1,4,1,0,0,0,9.0,271,6.0,6.0,2,2023,td
14,15,Minnesota Vikings MIN,1,4,0,1,0,0,34.0,430,6.0,6.0,2,2023,td
15,16,New Orleans Saints NO,1,4,1,0,0,0,17.0,239,6.0,6.0,2,2023,td
16,17,Arizona Cardinals ARI,1,3,0,1,0,0,31.0,439,5.0,5.0,2,2023,td
17,18,Los Angeles Chargers LAC,1,5,0,0,0,0,27.0,341,5.0,5.0,2,2023,td
18,19,San Francisco 49ers SF,1,1,0,2,0,0,23.0,386,5.0,5.0,2,2023,td
19,20,Denver Broncos DEN,1,4,0,0,0,0,35.0,388,4.0,4.0,2,2023,td
20,21,Green Bay Packers GB,1,1,0,1,0,0,25.0,446,3.0,3.0,2,2023,td
21,22,New England Patriots NE,1,1,0,1,0,0,24.0,389,3.0,3.0,2,2023,td
22,23,Tennessee Titans TEN,1,3,0,0,0,0,24.0,342,3.0,3.0,2,2023,td
23,24,Baltimore Ravens BAL,1,1,0,1,0,0,24.0,282,3.0,3.0,2,2023,td
24,25,Las Vegas Raiders LV,1,2,0,0,0,0,38.0,450,2.0,2.0,2,2023,td
25,26,Atlanta Falcons ATL,1,1,0,0,0,0,24.0,224,1.0,1.0,2,2023,td
26,27,Detroit Lions DET,1,1,0,0,0,0,37.0,393,1.0,1.0,2,2023,td
27,28,New York Jets NYJ,1,1,0,0,0,0,30.0,382,1.0,1.0,2,2023,td
28,29,Los Angeles Rams LAR,1,1,0,0,0,0,30.0,365,1.0,1.0,2,2023,td
29,30,Chicago Bears CHI,1,0,0,0,0,0,27.0,437,0.0,0.0,2,2023,td
30,31,Houston Texans HOU,1,0,0,0,0,0,31.0,353,0.0,0.0,2,2023,td
31,32,New York Giants NYG,1,0,0,0,0,0,28.0,379,0.0,0.0,2,2023,td
