,Rank,Name,Age,Exp,G,Rec,RecYd,Y/Rec,RecTD,FP/G,FantPt,week,year,position
0,1,Darren Waller LV,28.0,6.0,1,9,117,13.0,1,26.7,26.7,17,2020,te
1,2,Chris Herndon NYJ,24.0,3.0,1,7,63,9.0,1,19.3,19.3,17,2020,te
2,3,Pharaoh Brown HOU,26.0,4.0,1,5,48,9.6,1,15.8,15.8,17,2020,te
3,4,Jared Cook NO,33.0,12.0,1,4,43,10.8,1,14.3,14.3,17,2020,te
4,5,Dalton Schultz DAL,24.0,3.0,1,7,70,10.0,0,14.0,14.0,17,2020,te
5,6,George Kittle SF,27.0,4.0,1,7,68,9.7,0,13.8,13.8,17,2020,te
6,7,Austin Hooper CLE,26.0,5.0,1,4,37,9.3,1,13.7,13.7,17,2020,te
7,8,Hayden Hurst ATL,27.0,3.0,1,4,28,7.0,1,12.8,12.8,17,2020,te
8,9,Donald Parham Jr LAC,23.0,2.0,1,3,37,12.3,1,12.7,12.7,17,2020,te
9,10,Logan Thomas WAS,29.0,7.0,1,3,37,12.3,1,12.7,12.7,17,2020,te
10,11,Devin Asiasi NE,23.0,1.0,1,2,39,19.5,1,11.9,11.9,17,2020,te
11,12,Taysom Hill NO,30.0,4.0,1,1,5,5.0,0,11.6,11.6,17,2020,te
12,13,Cole Kmet CHI,21.0,1.0,1,7,41,5.9,0,11.1,11.1,17,2020,te
13,14,Robert Tonyan Jr GB,26.0,4.0,1,2,18,9.0,1,9.8,9.8,17,2020,te
14,15,Mike Gesicki MIA,25.0,3.0,1,5,47,9.4,0,9.7,9.7,17,2020,te
15,16,Troy Fumagalli DEN,25.0,3.0,1,2,15,7.5,1,9.5,9.5,17,2020,te
16,17,Noah Fant DEN,23.0,2.0,1,4,48,12.0,0,8.8,8.8,17,2020,te
17,18,Vance McDonald PIT,30.0,8.0,1,5,33,6.6,0,8.3,8.3,17,2020,te
18,19,Stephen Anderson LAC,27.0,5.0,1,3,52,17.3,0,8.2,8.2,17,2020,te
19,20,Dan Arnold ARI,25.0,4.0,1,3,46,15.3,0,7.6,7.6,17,2020,te
20,21,Tyler Higbee LAR,27.0,5.0,1,3,41,13.7,0,7.1,7.1,17,2020,te
21,22,Tyler Conklin MIN,25.0,3.0,1,3,40,13.3,0,7.0,7.0,17,2020,te
22,23,Mark Andrews BAL,25.0,3.0,1,4,27,6.8,0,6.7,6.7,17,2020,te
23,24,T.J. Hockenson DET,23.0,2.0,1,3,25,8.3,0,5.5,5.5,17,2020,te
24,25,Durham Smythe MIA,25.0,3.0,1,3,23,7.7,0,5.3,5.3,17,2020,te
25,26,Irv Smith Jr. MIN,22.0,2.0,1,2,30,15.0,0,5.0,5.0,17,2020,te
26,27,Rob Gronkowski TB,31.0,11.0,1,2,29,14.5,0,4.9,4.9,17,2020,te
27,28,Dawson Knox BUF,24.0,2.0,1,2,29,14.5,0,4.9,4.9,17,2020,te
28,29,Jack Doyle IND,30.0,8.0,1,3,17,5.7,0,4.7,4.7,17,2020,te
29,30,Zach Ertz PHI,30.0,8.0,1,3,16,5.3,0,4.6,4.6,17,2020,te
30,31,Gerald Everett LAR,26.0,4.0,1,2,25,12.5,0,4.5,4.5,17,2020,te
31,32,Ross Dwelley SF,25.0,3.0,1,2,21,10.5,0,4.1,4.1,17,2020,te
32,33,Anthony Firkser TEN,25.0,4.0,1,2,18,9.0,0,3.8,3.8,17,2020,te
33,34,Evan Engram NYG,26.0,4.0,1,2,17,8.5,0,3.7,3.7,17,2020,te
34,35,Drew Sample CIN,24.0,2.0,1,2,15,7.5,0,3.5,3.5,17,2020,te
35,36,David Njoku CLE,24.0,4.0,1,2,13,6.5,0,3.3,3.3,17,2020,te
36,37,Adam Shaheen MIA,26.0,4.0,1,1,22,22.0,0,3.2,3.2,17,2020,te
37,38,Cethan Carter CIN,25.0,4.0,1,1,21,21.0,0,3.1,3.1,17,2020,te
38,39,Will Dissly SEA,24.0,3.0,1,1,20,20.0,0,3.0,3.0,17,2020,te
39,40,Daniel Brown NYJ,28.0,6.0,1,1,18,18.0,0,2.8,2.8,17,2020,te
40,41,Kaden Smith NYG,23.0,2.0,1,1,16,16.0,0,2.6,2.6,17,2020,te
41,42,Deon Yelder KC,25.0,3.0,1,2,6,3.0,0,2.6,2.6,17,2020,te
42,43,Jimmy Graham CHI,34.0,11.0,1,2,5,2.5,0,2.5,2.5,17,2020,te
43,44,Tommy Stevens CAR,24.0,1.0,1,0,0,,0,2.4,2.4,17,2020,te
44,45,Luke Stocker ATL,32.0,10.0,1,1,13,13.0,0,2.3,2.3,17,2020,te
45,46,Cameron Brate TB,29.0,7.0,1,1,11,11.0,0,2.1,2.1,17,2020,te
46,47,Tyler Eifert JAX,30.0,8.0,1,1,10,10.0,0,2.0,2.0,17,2020,te
47,48,James O'Shaughnessy JAX,28.0,6.0,1,1,10,10.0,0,2.0,2.0,17,2020,te
48,49,Levine Toilolo NYG,29.0,8.0,1,1,10,10.0,0,2.0,2.0,17,2020,te
49,50,Jordan Akins HOU,28.0,3.0,1,1,9,9.0,0,1.9,1.9,17,2020,te
50,51,Marcedes Lewis GB,36.0,15.0,1,1,9,9.0,0,1.9,1.9,17,2020,te
51,52,Eric Saubert JAX,26.0,4.0,1,1,9,9.0,0,1.9,1.9,17,2020,te
52,53,Jonnu Smith TEN,25.0,4.0,1,1,8,8.0,0,1.8,1.8,17,2020,te
53,54,Foster Moreau LV,23.0,2.0,1,1,7,7.0,0,1.7,1.7,17,2020,te
54,55,Jacob Hollister SEA,27.0,4.0,1,1,6,6.0,0,1.6,1.6,17,2020,te
55,56,Dalton Keene NE,21.0,1.0,1,1,6,6.0,0,1.6,1.6,17,2020,te
56,57,Adam Trautman NO,23.0,1.0,1,1,5,5.0,0,1.5,1.5,17,2020,te
57,58,Juwan Johnson NO,24.0,1.0,1,1,4,4.0,0,1.4,1.4,17,2020,te
58,59,Charlie Woerner SF,23.0,1.0,1,1,3,3.0,0,1.3,1.3,17,2020,te
59,60,Jesse James DET,26.0,6.0,1,1,2,2.0,0,1.2,1.2,17,2020,te
60,61,Ian Thomas CAR,24.0,3.0,1,1,-1,-1.0,0,0.9,0.9,17,2020,te
61,62,Mo Alie-Cox IND,27.0,4.0,1,0,0,,0,0.0,0.0,17,2020,te
62,63,Antony Auclair TB,27.0,4.0,1,0,0,,0,0.0,0.0,17,2020,te
63,64,Marcus Baugh WAS,26.0,3.0,1,0,0,,0,0.0,0.0,17,2020,te
64,65,Andrew Beck DEN,24.0,2.0,1,0,0,,0,0.0,0.0,17,2020,te
65,66,Blake Bell DAL,29.0,6.0,1,0,0,,0,0.0,0.0,17,2020,te
66,67,Hunter Bryant DET,22.0,1.0,1,0,0,,0,0.0,0.0,17,2020,te
67,68,Trey Burton IND,29.0,7.0,1,0,0,,0,0.0,0.0,17,2020,te
68,69,Stephen Carlson CLE,24.0,2.0,1,0,0,,0,0.0,0.0,17,2020,te
69,70,Derek Carrier LV,30.0,9.0,1,0,0,,0,0.0,0.0,17,2020,te
70,71,Darrell Daniels ARI,26.0,4.0,1,0,0,,0,0.0,0.0,17,2020,te
71,72,Darren Fells HOU,34.0,8.0,1,0,0,,0,0.0,0.0,17,2020,te
72,73,Jaeden Graham ATL,25.0,3.0,1,0,0,,0,0.0,0.0,17,2020,te
73,74,Garrett Griffin NO,26.0,5.0,1,0,0,,0,0.0,0.0,17,2020,te
74,75,Ryan Griffin NYJ,30.0,8.0,1,0,0,,0,0.0,0.0,17,2020,te
75,76,Demetrius Harris CHI,29.0,8.0,1,0,0,,0,0.0,0.0,17,2020,te
76,77,J.P. Holtz CHI,27.0,5.0,1,0,0,,0,0.0,0.0,17,2020,te
77,78,Nick Keizer KC,25.0,2.0,1,0,0,,0,0.0,0.0,17,2020,te
78,79,Chris Manhertz CAR,28.0,7.0,1,0,0,,0,0.0,0.0,17,2020,te
79,80,Jordan Matthews SF,28.0,7.0,1,0,0,,0,0.0,0.0,17,2020,te
80,81,Sean McKeon DAL,23.0,1.0,1,0,0,,0,0.0,0.0,17,2020,te
81,82,Johnny Mundt LAR,26.0,4.0,1,0,0,,0,0.0,0.0,17,2020,te
82,83,Colby Parkinson SEA,21.0,1.0,1,0,0,,0,0.0,0.0,17,2020,te
83,84,MyCole Pruitt TEN,28.0,6.0,1,0,0,,0,0.0,0.0,17,2020,te
84,85,Kevin Rader PIT,25.0,3.0,1,0,0,,0,0.0,0.0,17,2020,te
85,86,Mason Schreck CIN,27.0,4.0,1,0,0,,0,0.0,0.0,17,2020,te
86,87,Lee Smith BUF,33.0,10.0,1,0,0,,0,0.0,0.0,17,2020,te
87,88,Matt Sokol LAC,25.0,2.0,1,0,0,,0,0.0,0.0,17,2020,te
88,89,Jeremy Sprinkle WAS,26.0,4.0,1,0,0,,0,0.0,0.0,17,2020,te
89,90,Geoff Swaim TEN,27.0,6.0,1,0,0,,0,0.0,0.0,17,2020,te
90,91,Colin Thompson CAR,27.0,4.0,1,0,0,,0,0.0,0.0,17,2020,te
91,92,Eric Tomlinson BAL,28.0,6.0,1,0,0,,0,0.0,0.0,17,2020,te
92,93,Nick Vannett DEN,27.0,5.0,1,0,0,,0,0.0,0.0,17,2020,te
93,94,Kahale Warring HOU,23.0,2.0,1,0,0,,0,0.0,0.0,17,2020,te
94,95,Trevon Wesco NYJ,25.0,2.0,1,0,0,,0,0.0,0.0,17,2020,te
95,96,Maxx Williams ARI,26.0,6.0,1,0,0,,0,0.0,0.0,17,2020,te
96,97,Caleb Wilson PHI,24.0,2.0,1,0,0,,0,0.0,0.0,17,2020,te
97,98,Jason Witten LV,38.0,18.0,1,0,0,,0,0.0,0.0,17,2020,te
