,Rank,Name,Age,Exp,G,Rsh,RshYd,RshTD,Rec,RecYd,Y/Rec,RecTD,FP/G,FantPt,week,year,position
0,1,Keenan Allen LAC,31.0,11.0,1,0,0,0,8,111,13.9,2,31.1,31.1,2,2023,wr
1,2,Puka Nacua LAR,22.0,1.0,1,2,4,0,15,147,9.8,0,30.1,30.1,2,2023,wr
2,3,Mike Evans TB,30.0,10.0,1,0,0,0,6,171,28.5,1,29.1,29.1,2,2023,wr
3,4,Tee Higgins CIN,24.0,4.0,1,0,0,0,8,89,11.1,2,28.9,28.9,2,2023,wr
4,5,Nico Collins HOU,24.0,3.0,1,0,0,0,7,146,20.9,1,27.6,27.6,2,2023,wr
5,6,Justin Jefferson MIN,24.0,4.0,1,0,0,0,11,159,14.5,0,26.9,26.9,2,2023,wr
6,7,Tyler Lockett SEA,31.0,9.0,1,0,0,0,8,59,7.4,2,25.9,25.9,2,2023,wr
7,8,CeeDee Lamb DAL,24.0,4.0,1,0,0,0,11,143,13.0,0,25.3,25.3,2,2023,wr
8,9,Josh Reynolds DET,28.0,7.0,1,0,0,0,5,66,13.2,2,23.6,23.6,2,2023,wr
9,10,DeVonta Smith PHI,25.0,3.0,1,0,0,0,4,131,32.8,1,23.1,23.1,2,2023,wr
10,11,George Pickens PIT,22.0,2.0,1,0,0,0,4,127,31.8,1,22.7,22.7,2,2023,wr
11,12,Deebo Samuel SF,27.0,5.0,1,5,38,1,6,63,10.5,0,22.1,22.1,2,2023,wr
12,13,Christian Kirk JAX,27.0,6.0,1,0,0,0,11,110,10.0,0,22.0,22.0,2,2023,wr
13,14,Gabe Davis BUF,24.0,4.0,1,0,0,0,6,92,15.3,1,21.2,21.2,2,2023,wr
14,15,Brandon Johnson DEN,25.0,2.0,1,0,0,0,2,66,33.0,2,20.6,20.6,2,2023,wr
15,16,Davante Adams LV,31.0,10.0,1,0,0,0,6,84,14.0,1,20.4,20.4,2,2023,wr
16,17,Marvin Mims Jr. DEN,21.0,1.0,1,2,10,0,2,113,56.5,1,20.3,20.3,2,2023,wr
17,18,Tank Dell HOU,24.0,1.0,1,0,0,0,7,72,10.3,1,20.2,20.2,2,2023,wr
18,19,Jayden Reed GB,23.0,1.0,1,0,0,0,4,37,9.3,2,19.7,19.7,2,2023,wr
19,20,Drake London ATL,22.0,2.0,1,0,0,0,6,67,11.2,1,18.7,18.7,2,2023,wr
20,21,Adam Thielen CAR,33.0,11.0,1,0,0,0,7,54,7.7,1,18.4,18.4,2,2023,wr
21,22,Marquise Brown ARI,26.0,5.0,1,0,0,0,6,54,9.0,1,17.4,17.4,2,2023,wr
22,23,Nelson Agholor BAL,30.0,9.0,1,0,0,0,5,63,12.6,1,17.3,17.3,2,2023,wr
23,24,Mike Williams LAC,29.0,7.0,1,1,3,0,8,83,10.4,0,16.6,16.6,2,2023,wr
24,25,Terry McLaurin WAS,28.0,5.0,1,0,0,0,5,54,10.8,1,16.4,16.4,2,2023,wr
25,26,DJ Moore CHI,26.0,6.0,1,0,0,0,6,104,17.3,0,16.4,16.4,2,2023,wr
26,27,Garrett Wilson NYJ,23.0,2.0,1,0,0,0,2,83,41.5,1,16.3,16.3,2,2023,wr
27,28,Jordan Addison MIN,21.0,1.0,1,0,0,0,3,72,24.0,1,16.2,16.2,2,2023,wr
28,29,Amon-Ra St. Brown DET,24.0,3.0,1,0,0,0,6,102,17.0,0,16.2,16.2,2,2023,wr
29,30,Amari Cooper CLE,29.0,9.0,1,0,0,0,7,90,12.9,0,16.0,16.0,2,2023,wr
30,31,Skyy Moore KC,23.0,2.0,1,0,0,0,3,70,23.3,1,16.0,16.0,2,2023,wr
31,32,Tutu Atwell LAR,24.0,3.0,1,1,5,0,7,77,11.0,0,15.2,15.2,2,2023,wr
32,33,Tyreek Hill MIA,29.0,8.0,1,0,0,0,5,40,8.0,1,15.0,15.0,2,2023,wr
33,34,Chris Olave NO,23.0,2.0,1,0,0,0,6,86,14.3,0,14.6,14.6,2,2023,wr
34,35,Isaiah Hodgins NYG,25.0,4.0,1,0,0,0,4,40,10.0,1,14.0,14.0,2,2023,wr
35,36,Kalif Raymond DET,29.0,8.0,1,1,11,0,2,46,23.0,1,13.7,13.7,2,2023,wr
36,37,Stefon Diggs BUF,30.0,9.0,1,0,0,0,7,66,9.4,0,13.6,13.6,2,2023,wr
37,38,Michael Pittman Jr IND,26.0,4.0,1,0,0,0,8,56,7.0,0,13.6,13.6,2,2023,wr
38,39,DK Metcalf SEA,26.0,5.0,1,0,0,0,6,75,12.5,0,13.5,13.5,2,2023,wr
39,40,Robert Woods HOU,31.0,11.0,1,0,0,0,6,74,12.3,0,13.4,13.4,2,2023,wr
40,41,Chase Claypool CHI,25.0,4.0,1,0,0,0,3,36,12.0,1,12.6,12.6,2,2023,wr
41,42,Michael Thomas NO,30.0,8.0,1,0,0,0,7,55,7.9,0,12.5,12.5,2,2023,wr
42,43,K.J. Osborn MIN,26.0,4.0,1,0,0,0,3,34,11.3,1,12.4,12.4,2,2023,wr
43,44,Jaylen Waddle MIA,25.0,3.0,1,1,-2,0,4,86,21.5,0,12.4,12.4,2,2023,wr
44,45,Dontayvion Wicks GB,22.0,1.0,1,0,0,0,2,40,20.0,1,12.0,12.0,2,2023,wr
45,46,DeVante Parker NE,30.0,9.0,1,0,0,0,6,57,9.5,0,11.7,11.7,2,2023,wr
46,47,Courtland Sutton DEN,28.0,6.0,1,0,0,0,5,66,13.2,0,11.6,11.6,2,2023,wr
47,48,Nick Westbrook-Ikhine TEN,26.0,4.0,1,0,0,0,3,25,8.3,1,11.5,11.5,2,2023,wr
48,49,Tyler Boyd CIN,29.0,8.0,1,0,0,0,6,52,8.7,0,11.2,11.2,2,2023,wr
49,50,Jalin Hyatt NYG,22.0,1.0,1,0,0,0,2,89,44.5,0,10.9,10.9,2,2023,wr
50,51,Zay Flowers BAL,23.0,1.0,1,1,6,0,4,62,15.5,0,10.8,10.8,2,2023,wr
51,52,Chris Godwin TB,27.0,7.0,1,0,0,0,5,58,11.6,0,10.8,10.8,2,2023,wr
52,53,Treylon Burks TEN,23.0,2.0,1,0,0,0,3,76,25.3,0,10.6,10.6,2,2023,wr
53,54,Rashid Shaheed NO,25.0,2.0,1,0,0,0,4,63,15.8,0,10.3,10.3,2,2023,wr
