,game_date,winner_team,winner_score,loser_team,loser_score,week,year
0,2023-09-14,Philadelphia Eagles,34,Minnesota Vikings,28,2,2023
1,2023-09-17,Atlanta Falcons,25,Green Bay Packers,24,2,2023
2,2023-09-17,Buffalo Bills,38,Las Vegas Raiders,10,2,2023
3,2023-09-17,Baltimore Ravens,27,Cincinnati Bengals,24,2,2023
4,2023-09-17,Seattle Seahawks,37,Detroit Lions,31,2,2023
5,2023-09-17,Indianapolis Colts,31,Houston Texans,20,2,2023
6,2023-09-17,Kansas City Chiefs,17,Jacksonville Jaguars,9,2,2023
7,2023-09-17,Tennessee Titans,27,Los Angeles Chargers,24,2,2023
8,2023-09-17,Tampa Bay Buccaneers,27,Chicago Bears,17,2,2023
9,2023-09-17,New York Giants,31,Arizona Cardinals,28,2,2023
10,2023-09-17,San Francisco 49ers,30,Los Angeles Rams,23,2,2023
11,2023-09-17,Dallas Cowboys,30,New York Jets,10,2,2023
12,2023-09-17,Washington Commanders,35,Denver Broncos,33,2,2023
13,2023-09-17,Miami Dolphins,24,New England Patriots,17,2,2023
14,2023-09-18,New Orleans Saints,20,Carolina Panthers,17,2,2023
15,2023-09-18,Pittsburgh Steelers,26,Cleveland Browns,22,2,2023
